candidate_id,candidate_lat,candidate_lon,base_mean_components,base_mean_lcc_ratio,new_mean_components,new_mean_lcc_ratio,delta_components,delta_lcc_ratio,score
NEW_063,40.4162,-111.79039,1.1,0.9732,1.05,0.9886,0.05,0.0154,0.0654
NEW_013,40.355857,-111.824396,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_022,40.365914,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_021,40.365914,-111.824396,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_029,40.375971,-111.824396,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_030,40.375971,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_031,40.375971,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_038,40.386029,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_039,40.386029,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_015,40.355857,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_014,40.355857,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_046,40.396086,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_047,40.396086,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_054,40.406143,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_007,40.3458,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_006,40.3458,-111.807393,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_005,40.3458,-111.824396,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_055,40.406143,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_023,40.365914,-111.79039,1.1,0.9732,1.098,0.9735,0.002,0.0003,0.0023
NEW_052,40.406143,-111.841399,1.1,0.9732,1.1,0.973,0.0,-0.0002,-0.0002
NEW_053,40.406143,-111.824396,1.1,0.9732,1.1,0.973,0.0,-0.0002,-0.0002
NEW_061,40.4162,-111.824396,1.1,0.9732,1.1,0.973,0.0,-0.0002,-0.0002
NEW_062,40.4162,-111.807393,1.1,0.9732,1.1,0.973,0.0,-0.0002,-0.0002
NEW_025,40.375971,-111.892407,1.1,0.9732,1.102,0.9733,-0.002,0.0001,-0.0019
NEW_032,40.386029,-111.90941,1.1,0.9732,1.102,0.9733,-0.002,0.0001,-0.0019
NEW_024,40.375971,-111.90941,1.1,0.9732,1.102,0.9733,-0.002,0.0001,-0.0019
NEW_016,40.365914,-111.90941,1.1,0.9732,1.102,0.9733,-0.002,0.0001,-0.0019
NEW_057,40.4162,-111.892407,1.1,0.9732,1.102,0.9725,-0.002,-0.0007,-0.0027
NEW_049,40.406143,-111.892407,1.1,0.9732,1.102,0.9725,-0.002,-0.0007,-0.0027
NEW_050,40.406143,-111.875404,1.1,0.9732,1.102,0.9725,-0.002,-0.0007,-0.0027
NEW_051,40.406143,-111.858401,1.1,0.9732,1.102,0.9725,-0.002,-0.0007,-0.0027
NEW_056,40.4162,-111.90941,1.1,0.9732,1.102,0.9725,-0.002,-0.0007,-0.0027
NEW_058,40.4162,-111.875404,1.1,0.9732,1.102,0.9725,-0.002,-0.0007,-0.0027
NEW_059,40.4162,-111.858401,1.1,0.9732,1.102,0.9725,-0.002,-0.0007,-0.0027
NEW_060,40.4162,-111.841399,1.1,0.9732,1.102,0.9725,-0.002,-0.0007,-0.0027
NEW_048,40.406143,-111.90941,1.1,0.9732,1.102,0.9725,-0.002,-0.0007,-0.0027
NEW_011,40.355857,-111.858401,1.1,0.9732,1.104,0.973,-0.004,-0.0002,-0.0042
NEW_008,40.355857,-111.90941,1.1,0.9732,1.104,0.973,-0.004,-0.0002,-0.0042
NEW_009,40.355857,-111.892407,1.1,0.9732,1.104,0.973,-0.004,-0.0002,-0.0042
NEW_010,40.355857,-111.875404,1.1,0.9732,1.104,0.973,-0.004,-0.0002,-0.0042
NEW_003,40.3458,-111.858401,1.1,0.9732,1.104,0.973,-0.004,-0.0002,-0.0042
NEW_002,40.3458,-111.875404,1.1,0.9732,1.104,0.973,-0.004,-0.0002,-0.0042
NEW_000,40.3458,-111.90941,1.1,0.9732,1.104,0.973,-0.004,-0.0002,-0.0042
NEW_001,40.3458,-111.892407,1.1,0.9732,1.104,0.973,-0.004,-0.0002,-0.0042
NEW_017,40.365914,-111.892407,1.1,0.9732,1.104,0.973,-0.004,-0.0002,-0.0042
NEW_018,40.365914,-111.875404,1.1,0.9732,1.104,0.973,-0.004,-0.0002,-0.0042
NEW_043,40.396086,-111.858401,1.1,0.9732,1.108,0.9759,-0.008,0.0027,-0.0053
NEW_042,40.396086,-111.875404,1.1,0.9732,1.108,0.9759,-0.008,0.0027,-0.0053
NEW_041,40.396086,-111.892407,1.1,0.9732,1.108,0.9759,-0.008,0.0027,-0.0053
NEW_040,40.396086,-111.90941,1.1,0.9732,1.108,0.9759,-0.008,0.0027,-0.0053
NEW_026,40.375971,-111.875404,1.1,0.9732,1.108,0.9759,-0.008,0.0027,-0.0053
NEW_034,40.386029,-111.875404,1.1,0.9732,1.108,0.9759,-0.008,0.0027,-0.0053
NEW_033,40.386029,-111.892407,1.1,0.9732,1.108,0.9759,-0.008,0.0027,-0.0053
NEW_027,40.375971,-111.858401,1.1,0.9732,1.112,0.975,-0.012,0.0018,-0.0102
NEW_028,40.375971,-111.841399,1.1,0.9732,1.112,0.975,-0.012,0.0018,-0.0102
NEW_020,40.365914,-111.841399,1.1,0.9732,1.112,0.975,-0.012,0.0018,-0.0102
NEW_019,40.365914,-111.858401,1.1,0.9732,1.112,0.975,-0.012,0.0018,-0.0102
NEW_035,40.386029,-111.858401,1.1,0.9732,1.112,0.975,-0.012,0.0018,-0.0102
NEW_004,40.3458,-111.841399,1.1,0.9732,1.112,0.975,-0.012,0.0018,-0.0102
NEW_036,40.386029,-111.841399,1.1,0.9732,1.112,0.975,-0.012,0.0018,-0.0102
NEW_037,40.386029,-111.824396,1.1,0.9732,1.112,0.975,-0.012,0.0018,-0.0102
NEW_012,40.355857,-111.841399,1.1,0.9732,1.112,0.975,-0.012,0.0018,-0.0102
NEW_045,40.396086,-111.824396,1.1,0.9732,1.112,0.975,-0.012,0.0018,-0.0102
NEW_044,40.396086,-111.841399,1.1,0.9732,1.112,0.975,-0.012,0.0018,-0.0102
